D_1,D_2,T_1,T_2,Value
D1059,D59,P197,P76,0.7828858101835321
D1059,D59,P27,P23,0.8960647030420087
D1059,D59,P27,P24,0.8981034390256988
D1059,D59,P27,P26,0.8981034390256988
D1065,D1066,P185,P186,0.9193664506839453
D1065,D1066,P185,P187,0.8811757348342715
D1065,D1066,P185,P218,0.9942404607631389
D1065,D1066,P185,P236,0.8839743589743589
D1065,D1066,P186,P185,0.9193664506839453
D1065,D1066,P186,P187,0.8893058161350845
D1065,D1066,P186,P218,0.9193664506839453
D1065,D1066,P186,P236,0.8935897435897436
D1065,D626,P186,P185,0.9193664506839453
D1065,D626,P186,P187,0.8893058161350845
D1065,D626,P186,P218,0.9193664506839453
D1065,D626,P186,P236,0.8935897435897436
D1066,D1065,P188,P1129,0.9128630705394191
D1066,D1065,P188,P192,0.9245421245421245
D1066,D1065,P188,P193,0.9163059163059163
D1066,D1065,P188,P249,0.9912663755458516
D1066,D1065,P188,P250,0.9155844155844156
D1066,D626,P186,P185,0.9193664506839453
D1066,D626,P186,P187,0.8893058161350845
D1066,D626,P186,P218,0.9193664506839453
D1066,D626,P186,P236,0.8935897435897436
D108,D109,P75,P253,0.9174214064323954
D108,D109,P75,P425,0.8356651442446666
D1089,D1003,P32,P33,0.7816299469604243
D1089,D1007,P32,P33,0.7873783605475837
D1089,D1095,P33,P32,0.8428116368172502
D1089,D1100,P32,P33,0.8075873134950404
D1089,D1104,P32,P33,0.7912790697674419
D1089,D1105,P32,P33,0.8101196494775867
D1089,D4384,P32,P33,0.7854967568422717
D1089,D999,P32,P33,0.7812790697674418
D109,D108,P75,P253,0.9174214064323954
D109,D108,P75,P425,0.8356651442446666
D1090,D1003,P32,P33,0.794392622880995
D1090,D1007,P32,P33,0.788380519042804
D1090,D1095,P33,P32,0.8523901808785529
D1090,D1100,P32,P33,0.8153531438415159
D1090,D1104,P32,P33,0.7979801006952769
D1090,D1105,P32,P33,0.8180580959846703
D1090,D4384,P32,P33,0.7864179586563308
D1090,D999,P32,P33,0.782095396298054
D1091,D1003,P32,P33,0.7838322612568035
D1091,D1007,P32,P33,0.7838322612568035
D1091,D1095,P33,P32,0.8321881606765328
D1091,D1100,P32,P33,0.8101196494775867
D1091,D1104,P32,P33,0.8228393534553851
D1091,D1105,P32,P33,0.8127076411960132
D1091,D4384,P32,P33,0.782095396298054
D1091,D999,P32,P33,0.7779457364341086
D1092,D1003,P32,P33,0.788380519042804
D1092,D1007,P32,P33,0.788380519042804
D1092,D1095,P33,P32,0.8452006383948928
D1092,D1100,P32,P33,0.8153531438415159
D1092,D1104,P32,P33,0.7979801006952769
D1092,D1105,P32,P33,0.8180580959846703
D1092,D4384,P32,P33,0.7864179586563308
D1092,D999,P32,P33,0.782095396298054
D1093,D1003,P32,P33,0.7860819371509544
D1093,D1007,P32,P33,0.7860819371509544
D1093,D1095,P33,P32,0.8351488015682081
D1093,D1100,P32,P33,0.8127076411960132
D1093,D1104,P32,P33,0.7957008384749248
D1093,D1105,P32,P33,0.8153531438415159
D1093,D4384,P32,P33,0.7898901808785529
D1093,D999,P32,P33,0.7854967568422717
D1094,D1003,P32,P33,0.7752926752096188
D1094,D1007,P32,P33,0.7807979701110845
D1094,D1095,P33,P32,0.8209892146949781
D1094,D1100,P32,P33,0.8003068475452196
D1094,D1104,P32,P33,0.7849683901557913
D1094,D1105,P32,P33,0.8086549562922646
D1094,D4384,P32,P33,0.7792328651469798
D1094,D999,P32,P33,0.7752596522917137
D1095,D1003,P32,P33,0.788380519042804
D1095,D1007,P32,P33,0.788380519042804
D1095,D1100,P32,P33,0.8153531438415159
D1095,D1104,P32,P33,0.7979801006952769
D1095,D1105,P32,P33,0.831317383943687
D1095,D4384,P32,P33,0.7864179586563308
D1095,D999,P32,P33,0.782095396298054
D1096,D1003,P32,P33,0.7931309216192938
D1096,D1007,P32,P33,0.7931309216192938
D1096,D1095,P33,P32,0.8236545486946448
D1096,D1100,P32,P33,0.8208245243128963
D1096,D1104,P32,P33,0.8026825785393717
D1096,D1105,P32,P33,0.8236545486946448
D1096,D4384,P32,P33,0.7909244598383638
D1096,D999,P32,P33,0.7864179586563308
D1097,D1003,P32,P33,0.7907296192179913
D1097,D1007,P32,P33,0.7907296192179913
D1097,D1095,P33,P32,0.8484219269102989
D1097,D1100,P32,P33,0.8180580959846703
D1097,D1104,P32,P33,0.8003068475452196
D1097,D1105,P32,P33,0.8208245243128963
D1097,D4384,P32,P33,0.7886474908200735
D1097,D999,P32,P33,0.784234396227923
D1098,D1003,P32,P33,0.805984952120383
D1098,D1007,P32,P33,0.805984952120383
D1098,D1095,P33,P32,0.8388400453771979
D1098,D1100,P32,P33,0.8356565798076024
D1098,D1104,P32,P33,0.8153531438415159
D1098,D1105,P32,P33,0.8388400453771979
D1098,D4384,P32,P33,0.8094608879492601
D1098,D999,P32,P33,0.8042420327304048
D1099,D1003,P32,P33,0.805984952120383
